plot_uniq_ID,vegetation,plot_ID,clayall,clay20,clay40,clay60,ai,hmod,strc,fdis,hm,wd,sla,ldmc,lcc,lnc,sesmpd,agb,socall,soc20,soc40,soc60,stnall,stn20,stn40,stn60,scnall,scn20,scn40,scn60
87,Parkland,I08,-1.106102341,-0.611569579,-1.087689898,-2.17676257,-0.676236537,1.482034812,-0.969645469,1.216839896,0.602583259,2.32273076,0.62435937,-2.418988799,1.104888795,1.318600455,0.699800329,0.223628282,-0.050176469,0.632762072,-1.381188782,-0.55909057,0.016043249,0.665792916,-1.4945844,-0.251687168,-0.094370802,-0.271427461,0.126264431,-0.480366903
88,Savanna,I09,0.135356436,0.240831089,0.070242573,-0.382994912,0.428026887,-0.353595112,-1.220520094,-0.584164731,-2.122073865,0.95348713,-3.273469554,-1.119276486,-0.113825991,1.409262831,-0.901238798,-2.591614699,0.302663,0.443394828,0.18303451,0.096212375,0.234622121,-0.209212673,0.982801149,0.392985496,0.083255597,2.297506883,-1.445322,-0.426461686
89,Parkland,I10,-0.771352822,-0.68175566,-0.805702057,-0.800721627,0.516443209,-0.004180707,-1.737266,2.386415231,-0.516026363,0.882194512,0.105735826,1.487379898,-1.611429718,0.121852048,0.043205892,-1.864390273,0.548868037,0.623613441,-0.03991526,0.808066505,0.757364585,0.864988493,0.436874765,0.578704509,-0.593416398,-0.825260736,-0.918651258,0.241364068
90,Parkland,I11,-0.895631865,-0.893149449,-0.906828731,-1.064872344,0.501393622,1.201166414,-1.285000673,-0.121761653,0.576206566,-0.974633597,2.092554075,-0.220987236,0.365161005,-0.536632786,0.13868427,-0.525330706,-1.137954116,-0.78339033,-0.517552666,-1.310655418,-0.780128985,-0.546217089,0.134953465,-1.692371336,-0.639937598,-0.4418377,-1.20925422,0.391100784
92,Forest,I13,0.210608773,0.762907823,0.05776416,-0.849865947,0.226738665,-1.011111633,0.270805199,0.388765826,0.425244825,0.187754863,-0.02077289,0.387794419,-0.7123331,-0.365979757,0.101758465,-0.154465634,1.970227216,2.447788544,0.217335333,0.396202416,5.221287154,4.97509983,0.570993415,3.631822965,-3.934484375,-4.463519327,-0.713108988,-2.486838899
93,Savanna,I14,0.135356436,0.505188263,0.118538825,-1.107873623,-0.067668875,-1.263735429,0.139474831,0.664046166,-0.124295732,-0.119997526,1.174734213,0.144275379,1.215968113,-0.013584788,0.378855146,-1.114066391,1.276899477,0.907998091,1.526231229,0.264019363,0.736126609,0.633043383,1.243540736,-0.034187157,0.620363993,0.431514772,0.471475557,0.63067953
94,Parkland,I15,1.073781133,0.85231152,1.209052449,0.704323154,-0.160788193,-0.7523678,0.631617365,-0.076113766,2.260453567,-1.711928393,2.088884393,-0.864382954,1.61325809,0.58270062,-0.029776669,0.189659481,-0.622552196,-0.081658545,-1.174620306,-0.663604893,-0.615732824,-0.031772549,-1.330688952,-0.505162047,0.150922796,0.052351992,0.202306346,-0.237793423
95,Savanna,I16,-0.055177607,-0.026703249,-0.01585483,-0.714719068,-0.515394079,-1.161602802,0.49852007,-0.279284883,-1.885278533,-1.075075143,-0.514853308,-0.305838105,-0.124639406,-2.214766942,-0.274375205,-0.940374455,0.832480537,0.188506586,0.83211881,1.766688129,0.60983716,0.039119044,0.829017999,1.233340599,0.159381196,0.593404499,-0.080596873,0.217406194
96,Savanna,J01,1.346370624,1.352865713,1.347958434,1.693352582,1.242585768,-1.849195572,0.21919015,0.696388311,2.409309858,-1.871954293,0.129717288,-0.973981079,0.77951475,1.395402711,0.439860054,0.348170382,-0.005962431,0.130549207,-0.124965521,0.187106551,0.493762482,0.346485423,0.730132183,0.559144127,-0.944439996,-0.488700515,-1.519365682,-0.588177339
97,Forest,J02,-0.527138701,-0.908189323,-0.480929854,-0.143416355,0.840009323,-2.034876677,1.711155123,-0.587068846,2.112360531,0.806380205,-0.488573119,0.676314531,-0.86793263,0.470453613,0.429737718,1.202032133,1.458456744,1.58433403,1.311508518,-0.920742597,1.134953998,1.145619036,0.953061599,0.691106084,-0.026703602,0.239803254,0.633775425,-1.857944691
98,Forest,J03,0.02145299,-0.346700682,0.032482491,0.483173717,0.556888973,-1.435317339,1.846465206,-0.131805571,1.719230556,0.372034748,-0.29816167,0.476226472,-0.73512672,0.338117582,1.165380473,0.842869607,1.100600779,0.897628866,1.11952792,0.479934842,0.676636073,0.624759901,1.110950662,-0.005485961,0.468112794,0.452816052,-0.060941746,0.993042383
99,Forest,K01,1.480046944,1.222459538,1.496874521,1.840785541,-1.896193659,-1.212311782,1.605958256,1.076390558,2.456406921,-0.88694524,1.099660084,-0.751071709,0.376959034,1.535167066,0.841292678,0.658666421,0.941545829,1.424854767,0.302405443,-0.801367952,0.809574568,1.253422309,0.203978338,-0.466287331,-0.102829202,-0.382194116,0.113511777,-0.558229996
100,Forest,K02,1.346370624,1.230815024,1.432697978,1.300198027,-2.0767887,-0.932151663,1.263541657,0.734573439,0.692473812,0.819339915,0.305033884,-0.362360648,-0.092884488,-0.681570852,0.411786546,0.618127152,0.897900923,0.862035415,0.806128563,0.319198136,0.819868678,0.914978289,0.796646498,0.255388783,-0.187413201,-0.497221027,-0.0576713,0.130558898
